α,25300576
ο,23292768
τ,23224694
ι,18161886
ε,17023886
ν,16974536
ρ,12540439
σ,11610777
κ,11193694
η,10507790
ς,9810062
π,9492806
υ,9400447
μ,8552723
λ,7638182
ί,6848645
ό,5776622
ά,5434158
έ,4836935
γ,4624462
δ,4143042
ή,3845877
ω,3704574
χ,3060186
ύ,2803362
θ,2662384
φ,2145730
ώ,1934131
β,1774613
Α,1013667
ξ,937902
ζ,895907
e,888225
Σ,850679
a,779939
Τ,772303
Μ,763349
Κ,738414
Π,709372
Ο,657708
i,654752
o,631906
Ε,627061
r,611174
n,578852
t,477847
l,440221
s,434123
Γ,416077
Η,406600
Β,386850
Ν,317603
Δ,317247
ψ,312125
Ι,298072
u,288437
Λ,250989
d,244716
c,238609
h,224548
m,218250
Χ,216220
Φ,194951
Ρ,189097
g,160928
Έ,158011
S,153353
C,148181
ϊ,141949
p,137063
A,134426
y,125140
M,116037
Ά,112997
T,105049
b,105025
Θ,102200
k,101052
B,100506
f,99544
P,92946
v,87058
D,84867
H,77724
R,77348
L,77140
I,74549
E,72683
F,72534
Ό,72265
Υ,70987
G,66716
N,63342
w,62229
Ζ,59921
O,55889
W,49600
Ω,41486
V,40557
ΐ,38040
K,36345
z,34167
Ή,32931
J,31396
x,31057
U,30167
Ί,15218
Ξ,15038
j,14637
Y,14244
ϋ,12376
X,12149
é,11748
а,11642
q,10751
о,8925
и,8919
Z,8148
Ψ,7547
е,6982
р,6466
Q,6401
н,6357
в,5102
с,5005
к,4664
л,4655
Ύ,4442
т,4046
ü,3793
ا,3283
µ,3144
á,3124
ö,3108
ἐ,2660
ὶ,2524
д,2373
ó,2295
у,2154
è,2092
ل,2080
ἀ,2073
ë,2044
í,2029
ὸ,2021
м,2010
ä,1936
ῦ,1877
Ώ,1824
ῶ,1688
я,1595
ч,1561
ı,1557
б,1536
С,1534
ç,1516
ὰ,1484
й,1476
г,1460
ῆ,1443
ā,1379
ي,1344
ن,1335
ر,1328
É,1302
ῖ,1296
п,1272
م,1246
ὐ,1193
ὲ,1156
ь,1145
š,1123
ὴ,1119
ˈ,1077
К,1054
à,1029
ἰ,1018
А,1003
و,996
ա,988
â,981
ş,954
М,942
П,912
з,902
ΰ,888
В,882
د,873
ы,867
Ἀ,848
ب,843
س,816
Б,786
ñ,770
ō,759
Р,749
ц,736
ш,694
ú,685
ὁ,680
ć,659
ἔ,648
х,642
Н,639
ī,585
č,584
ة,573
і,568
ă,568
ت,554
Д,547
ἡ,543
ə,542
Š,540
Г,532
ն,532
ἄ,500
ł,498
ὺ,498
ћ,496
Ϊ,496
Ö,485
ğ,480
И,476
ع,474
ø,473
ح,471
ј,466
ô,465
ی,448
Т,444
ß,441
ր,441
ἱ,428
ი,428
ū,427
ه,426
ã,421
ა,419
ո,416
Ф,407
æ,402
ῷ,402
ف,401
ὑ,399
ж,391
ق,391
ὅ,390
Л,387
О,387
י,374
ð,373
ش,363
ž,360
ᾶ,359
ː,354
ج,353
ê,339
İ,338
ɪ,332
ф,328
ի,324
ط,322
ῳ,320
å,318
Ἐ,317
î,313
ե,303
ו,299
ʲ,295
Ş,291
ἶ,279
ك,268
ï,260
ъ,259
ւ,259
ò,258
ز,258
Č,256
ῇ,255
ὀ,250
ῃ,249
ー,245
Ç,240
خ,238
ἑ,232
У,230
ე,215
א,214
ē,212
ר,211
ל,210
ù,209
ё,207
ý,206
З,205
أ,205
Е,204
Á,203
ì,200
Ü,198
რ,197
յ,192
ى,191
Х,189
ה,189
ン,188
ю,187
ὕ,183
Ἰ,180
ἴ,180
ɛ,179
Ц,177
ს,177
ὡ,174
Ἑ,173
र,173
ɾ,168
ő,162
ɐ,162
Ш,161
ń,157
տ,157
ţ,156
ლ,154
ص,152
ὄ,148
ב,148
ἦ,144
ս,144
Ч,143
õ,142
ě,142
ɣ,142
ד,142
ś,140
Ὀ,138
ɔ,138
ἁ,137
מ,137
Ἡ,136
կ,130
Ž,128
ო,127
ә,127
ש,127
щ,126
ὼ,125
ნ,122
ḥ,122
ɑ,121
Ј,121
Ա,121
û,120
ᾳ,119
մ,119
র,118
э,116
Я,115
Ἱ,114
غ,114
ἕ,113
ř,113
ת,112
ʃ,112
ș,111
მ,111
љ,111
Ἄ,109
ė,109
נ,109
ვ,108
न,107
ὔ,105
њ,103
ǎ,102
大,101
ț,100
ἠ,99
ὖ,99
ĝ,99
ἵ,98
ע,98
ک,98
Ὁ,97
ἤ,97
Å,97
լ,97
ल,95
ئ,95
ą,93
ṭ,93
ἢ,93
म,92
ス,92
Ю,92
イ,91
ż,91
ῥ,90
ἂ,90
Ж,90
đ,90
უ,88
Î,87
ę,85
ল,85
ʿ,85
ʊ,84
ɡ,83
Ἁ,82
ル,82
თ,82
ɕ,81
ব,81
ἅ,80
ө,79
վ,79
ן,79
қ,78
œ,77
ন,77
स,77
Í,77
ṣ,77
բ,77
क,76
כ,74
ظ,73
ὠ,72
प,71
թ,71
գ,71
ї,70
Э,69
ἷ,69
ג,69
ў,68
国,68
დ,68
إ,68
ղ,68
ʁ,67
ὗ,67
À,67
ƒ,67
व,67
դ,67
ম,66
ħ,66
ド,65
त,65
দ,65
ђ,65
ŋ,65
Æ,65
Ä,64
ℓ,64
ト,64
า,64
ס,64
ÿ,63
ক,62
ბ,62
ض,62
Ó,62
ジ,62
Հ,62
ὃ,61
中,61
リ,61
ტ,60
ہ,60
ք,60
ק,59
ـ,59
گ,59
հ,59
ʰ,59
Ս,58
پ,58
ˌ,58
ү,58
ǔ,58
ア,58
Ł,58
გ,57
ח,56
द,56
շ,56
Մ,56
会,55
պ,55
य,54
º,54
ὥ,54
村,54
ἥ,53
פ,53
山,53
ء,53
Ἔ,52
ث,52
Đ,52
ร,52
國,51
Қ,51
ט,50
天,50
آ,50
ʒ,49
ם,49
人,49
զ,49
Ż,48
フ,48
デ,48
タ,47
ク,47
ग,47
კ,46
Ἕ,46
道,46
น,46
日,45
ラ,45
Ú,45
ქ,45
ց,45
の,44
Ђ,44
প,44
ᾷ,43
জ,43
子,43
ŭ,43
ʻ,43
স,42
ხ,42
Ś,41
ত,41
ह,41
Ō,41
モ,41
য,40
Ø,40
ɨ,40
ッ,40
バ,40
Կ,40
北,39
ǐ,39
本,39
シ,39
ɲ,38
গ,38
І,38
க,38
Գ,38
한,37
국,37
Ὑ,37
レ,37
च,37
Ϋ,37
民,37
一,37
ม,37
Ῥ,37
Ἦ,36
ʼ,36
ʾ,36
ர,35
ἓ,35
ų,35
ज,35
ծ,35
ⱏ,35
Ἠ,34
Ὅ,34
カ,34
ז,34
社,34
ས,34
ʔ,34
ⴰ,34
ң,33
ァ,33
შ,33
선,33
צ,33
武,33
श,33
າ,33
է,33
家,32
マ,32
海,32
田,32
ท,32
Ἅ,32
ზ,32
ニ,31
ὧ,31
þ,31
ロ,31
ナ,31
ǒ,31
Ā,31
ە,31
խ,31
ĕ,31
ἣ,30
オ,30
Œ,30
Ḥ,30
式,30
ġ,30
林,30
河,30
민,30
ⰻ,30
Â,29
도,29
ɴ,29
文,29
ย,29
江,29
ռ,29
Վ,29
چ,29
寺,29
ϛ,29
ἧ,28
ハ,28
শ,28
조,28
Й,28
є,28
拳,28
ပ,28
ھ,28
ण,27
փ,27
ब,27
太,27
刀,27
白,27
上,27
Ţ,27
인,26
ც,26
ұ,26
ズ,26
サ,26
ʂ,26
ň,26
三,26
џ,26
忍,26
島,26
者,26
ҡ,26
テ,25
ὦ,25
ῴ,25
コ,25
ғ,25
ʋ,25
ذ,25
ṇ,25
ブ,25
プ,25
平,25
ḍ,25
ფ,25
ⵉ,25
һ,25
ট,24
ⲓ,24
ɫ,24
ध,24
წ,24
ส,24
ง,24
ィ,24
チ,24
ර,24
帝,24
ャ,24
བ,24
ܝ,24
Թ,24
င,24
ड,23
ム,23
হ,23
ů,23
西,23
ṯ,23
株,23
ძ,23
十,23
王,23
ʝ,23
ว,23
อ,23
地,23
Þ,23
ℝ,23
Բ,23
士,23
ܐ,23
ŏ,23
ก,23
ล,23
ⰰ,23
州,22
Ș,22
사,22
ር,22
ļ,22
ख,22
明,22
南,22
朝,22
ۇ,22
ɒ,22
기,22
新,22
ⲁ,22
Ե,22
ວ,22
ջ,22
ດ,21
ት,21
अ,21
भ,21
ὤ,21
語,21
Ϛ,21
ར,21
대,21
주,21
金,21
Տ,21
Ն,21
市,21
ப,20
ष,20
ⲙ,20
神,20
字,20
ʎ,20
セ,20
ウ,20
ũ,20
グ,20
東,20
少,20
เ,20
ນ,20
원,20
Պ,20
ṃ,20
ʌ,20
ⰵ,20
清,19
პ,19
和,19
五,19
高,19
八,19
ź,19
Լ,19
ẓ,19
京,18
ű,18
キ,18
ボ,18
ѣ,18
ะ,18
安,18
李,18
Ć,18
ṛ,18
த,18
パ,18
ག,18
ச,18
이,18
Ө,18
ⵜ,18
ਰ,18
พ,18
ḫ,18
Ի,18
华,18
ḏ,18
မ,18
ⰲ,18
È,17
រ,17
ᾧ,17
ἃ,17
ダ,17
Ὠ,17
術,17
エ,17
二,17
小,17
メ,17
ช,17
ὂ,17
四,17
木,17
郎,17
མ,17
城,17
Շ,17
ệ,17
球,17
湖,17
တ,17
의,17
ང,17
Ϟ,17
ਸ,17
ձ,17
ҙ,17
ⱄ,17
学,16
ກ,16
っ,16
ራ,16
Ț,16
藤,16
ட,16
公,16
န,16
ງ,16
ը,16
ⲥ,16
ད,16
青,16
Ğ,16
ခ,16
Ә,16
ⰾ,16
አ,15
Ñ,15
ʏ,15
চ,15
華,15
ʐ,15
皇,15
Ы,15
ガ,15
Յ,15
ყ,15
合,15
ต,15
ἒ,15
ベ,15
ܘ,15
韓,15
克,15
չ,15
ժ,15
ⵔ,15
ⵙ,15
