e,21478355
n,11406111
a,8849245
i,7816390
r,7728433
t,7415366
o,7035780
d,6536887
s,5038866
l,4509758
g,3354545
v,2880314
h,2688787
m,2580485
k,2395360
u,2275738
c,1729315
p,1718727
w,1679387
b,1656636
j,1546259
z,1197834
f,900804
D,468886
H,292070
A,259291
S,256308
I,253235
B,232472
y,210421
M,200412
E,189184
V,189125
N,186917
O,171857
C,168279
T,163492
P,154080
R,144553
G,137750
L,129380
K,115131
W,107467
F,101735
Z,92383
ë,92280
x,84998
J,83715
é,44599
U,40956
ï,20297
q,19303
Y,10309
ü,8640
X,8551
è,8503
ö,8320
ó,6516
Q,6068
á,5916
ä,3440
í,3071
ç,2279
а,1614
à,1561
α,1418
о,1387
и,1334
ã,1291
ο,1249
š,1151
ς,1148
â,1145
е,1145
ô,1016
ć,1005
ν,1002
р,985
н,956
É,926
в,865
ú,854
ê,853
ι,823
ρ,792
с,775
λ,758
ā,742
ō,738
л,737
к,729
č,683
τ,680
ß,670
ñ,668
ø,656
ε,643
ا,630
σ,561
т,548
μ,528
ł,524
ل,514
å,497
κ,469
î,442
ž,416
π,412
Š,410
û,381
Á,368
д,361
η,353
ي,348
Ö,348
ό,346
δ,346
ί,342
ș,341
у,332
м,325
ά,325
γ,317
ı,317
й,312
υ,311
ч,298
م,295
æ,295
י,293
ω,278
ī,276
г,268
ر,267
я,266
ń,263
β,261
ن,252
ý,243
ă,239
ь,238
ş,237
ò,236
ē,233
Č,233
د,223
ب,223
ð,220
φ,218
ū,216
ř,213
б,210
و,209
έ,202
θ,197
С,191
ή,191
ו,180
Å,178
ה,177
Æ,174
ğ,173
п,172
К,166
А,161
ы,160
ś,159
М,158
ר,151
ė,149
Ü,143
ש,142
ל,142
ə,140
ő,139
χ,139
В,139
ع,138
Δ,137
ύ,134
ة,134
µ,134
ě,130
س,130
א,129
ح,125
Б,124
з,123
İ,123
Î,122
П,122
Р,118
Κ,107
Ś,102
ת,101
ę,101
х,100
ˈ,100
Ó,99
מ,97
Ø,96
õ,96
ه,95
ד,94
ц,93
ق,93
Ç,93
Π,93
Ž,93
Н,92
ב,92
Α,92
Đ,90
ț,89
Г,87
ώ,87
Д,85
Μ,85
ج,81
Т,80
ù,79
đ,78
ت,77
נ,77
œ,76
ك,75
ف,73
ע,71
И,70
ш,69
ː,69
ì,69
ξ,68
Σ,67
า,67
ط,64
ж,63
О,63
ش,63
ƒ,62
Л,62
Β,62
ἀ,62
ร,60
ן,60
Ε,60
أ,60
ą,59
Ä,58
і,58
ა,57
ی,56
Λ,56
Ω,56
ζ,54
ɛ,54
Ἀ,52
ż,52
ա,52
ח,51
ი,51
ز,50
ג,49
ḥ,49
ם,48
ю,46
ồ,46
ʿ,45
Е,45
ф,45
Ł,45
Ν,44
Ş,43
ῦ,42
Γ,42
ṣ,42
Ι,42
Χ,42
ɪ,42
כ,42
น,41
ṇ,41
Τ,40
Í,40
ק,39
ɔ,39
र,39
פ,39
ё,38
ס,38
Ú,38
ệ,37
ე,37
ῖ,37
ů,36
Ф,36
อ,36
ὁ,36
Φ,36
Þ,36
ṭ,36
À,36
ň,35
خ,35
ј,34
ῆ,34
ص,34
þ,33
ǎ,33
э,32
ъ,31
山,31
ท,31
Θ,31
ɑ,31
天,31
ก,31
צ,30
ế,30
ט,30
З,29
У,29
ἐ,29
რ,29
大,29
Х,28
เ,28
ى,28
ย,28
ṟ,28
ÿ,27
Ч,27
ἄ,27
ả,27
พ,26
म,26
ữ,26
ố,26
Ō,26
ล,26
ź,26
ἔ,25
ม,25
Ю,24
Я,24
ư,24
ĳ,24
ს,24
ն,24
Ḥ,23
ง,23
市,23
ἰ,23
ლ,23
ր,23
ŋ,23
ז,23
ŏ,23
ŵ,23
ʾ,22
ơ,22
ʰ,22
本,22
ὐ,22
າ,21
ວ,21
Ο,21
東,21
ṯ,21
บ,21
न,21
南,21
ţ,20
ʃ,20
皇,20
ῶ,20
ĕ,20
ψ,19
ض,19
ว,19
神,19
ह,19
ء,19
国,19
ไ,19
ச,19
ɾ,19
日,19
ส,19
ե,19
ո,19
Ц,18
Ð,18
ấ,18
ṛ,18
န,18
ћ,17
ვ,17
ะ,17
ủ,17
ث,17
ὄ,17
Ə,17
Ż,17
ด,17
京,17
င,17
Ľ,16
Ж,16
Э,16
の,16
ễ,16
ạ,16
ო,16
平,16
क,16
ɡ,16
海,16
ʲ,16
Ш,15
ნ,15
ბ,15
Ρ,15
ນ,15
ர,15
ὶ,15
ग,15
Ć,15
յ,15
ရ,15
က,15
ງ,15
º,14
Η,14
त,14
ậ,14
თ,14
武,14
ὸ,14
ܝ,14
ɐ,14
Â,14
ル,13
إ,13
Ἐ,13
ị,13
ề,13
ン,13
ὀ,13
ờ,13
ĩ,13
道,13
ŭ,13
太,13
和,13
ک,13
ʒ,13
ἵ,13
ʻ,13
ລ,12
Ά,12
ớ,12
غ,12
ὕ,12
ḫ,12
ப,12
Ț,12
州,12
ſ,12
ւ,12
မ,12
酒,12
寺,11
金,11
Ā,11
ー,11
ต,11
ộ,11
უ,11
王,11
ະ,11
法,11
城,11
ἡ,11
ἴ,11
新,11
中,11
ظ,11
Ψ,11
ɣ,11
地,11
Ἄ,11
요,11
ပ,11
ǧ,10
щ,10
北,10
Ζ,10
ḗ,10
ช,10
È,10
ի,10
ป,10
三,10
文,10
会,10
光,10
ắ,10
ὰ,10
一,10
ᾶ,10
原,10
特,10
ľ,10
տ,10
ẵ,10
ब,10
स,10
니,10
卐,10
ų,10
ɦ,10
க,10
ज,9
ʁ,9
明,9
軍,9
下,9
ʼ,9
ђ,9
த,9
ห,9
ำ,9
ذ,9
დ,9
ئ,9
麻,9
द,9
江,9
子,9
ץ,9
都,9
ल,9
ɨ,9
Ա,9
व,9
တ,9
한,9
ℓ,9
Ṣ,8
प,8
Ř,8
タ,8
ܘ,8
ܪ,8
қ,8
ű,8
მ,8
仁,8
川,8
小,8
آ,8
龍,8
አ,8
ภ,8
ܢ,8
ὴ,8
ข,8
ǔ,8
元,8
伊,8
Ἰ,8
孫,8
մ,8
ฦ,8
ὲ,8
ї,8
ἶ,8
ძ,8
국,8
다,8
卍,8
ս,8
紀,8
ך,8
ġ,8
Ј,7
ア,7
แ,7
گ,7
Ǧ,7
ầ,7
ศ,7
陽,7
田,7
隊,7
ຊ,7
ட,7
ܐ,7
高,7
ẓ,7
ņ,7
य,7
ť,7
名,7
玉,7
イ,7
字,7
ɕ,7
ὑ,7
ḏ,7
進,7
Ê,7
人,7
代,7
ქ,7
Հ,7
ɲ,7
ण,7
ອ,7
ບ,7
ມ,7
民,7
ǐ,6
ສ,6
プ,6
ĝ,6
し,6
野,6
Ἴ,6
ス,6
ḍ,6
Ô,6
ἅ,6
ญ,6
კ,6
事,6
政,6
帝,6
國,6
ን,6
ስ,6
ማ,6
ር,6
ເ,6
ດ,6
ம,6
จ,6
ܬ,6
ʊ,6
将,6
着,6
古,6
ṃ,6
縣,6
藤,6
ម,6
រ,6
い,6
њ,6
上,6
Œ,6
ẞ,6
ន,6
ɹ,6
方,6
Ș,6
ษ,6
ฤ,6
ๅ,6
ǫ,6
բ,6
手,6
島,6
ခ,6
ယ,6
ʷ,6
어,6
세,6
ष,6
च,6
ɴ,6
І,6
Ñ,6
Ħ,6
通,6
ພ,5
Ġ,5
Ь,5
水,5
پ,5
千,5
カ,5
ừ,5
雲,5
ṓ,5
ہ,5
ხ,5
治,5
郎,5
部,5
木,5
徳,5
村,5
ค,5
ተ,5
ይ,5
ያ,5
安,5
በ,5
ḵ,5
ũ,5
術,5
八,5
ປ,5
љ,5
马,5
ܟ,5
Ἡ,5
昌,5
შ,5
口,5
ܡ,5
草,5
Ἱ,5
Ē,5
岡,5
ḷ,5
德,5
Ĝ,5
ณ,5
公,5
真,5
立,5
ɫ,5
ธ,5
ใ,5
լ,5
ト,5
り,5
ἱ,5
戰,5
別,5
風,5
Ἁ,5
空,5
အ,5
သ,5
စ,5
ք,5
합,5
하,5
司,5
ຫ,5
九,5
코,5
스,5
后,5
呂,5
気,5
宝,5
町,5
越,5
共,5
𨖲,5
些,5
年,5
主,5
ὅ,5
ḻ,5
Й,4
Ы,4
ἑ,4
ク,4
ド,4
ナ,4
重,4
コ,4
と,4
宮,4
オ,4
Ἑ,4
ϊ,4
ტ,4
স,4
ܣ,4
Қ,4
四,4
衛,4
杉,4
米,4
洲,4
ል,4
ግ,4
ደ,4
剣,4
士,4
Ί,4
路,4
ກ,4
ண,4
溪,4
ῥ,4
ܕ,4
ܨ,4
ܒ,4
少,4
林,4
ኢ,4
እ,4
ት,4
屋,4
Ğ,4
ܠ,4
Ī,4
体,4
か,4
श,4
門,4
花,4
清,4
開,4
合,4
Ђ,4
ḩ,4
猫,4
漫,4
画,4
Ἔ,4
ῷ,4
長,4
十,4
之,4
ɒ,4
ந,4
馬,4
ὖ,4
フ,4
대,4
曲,4
ላ,4
ṗ,4
ү,4
生,4
հ,4
Լ,4
那,4
攻,4
自,4
正,4
ჯ,4
ត,4
妈,4
გ,4
해,4
체,4
십,4
시,4
에,4
안,4
џ,4
ည,4
ỹ,4
ỳ,4
ຈ,4
ໄ,4
ຂ,4
段,4
Έ,4
仙,4
動,4
勝,4
ứ,4
革,4
功,4
দ,4
도,4
ĉ,4
ર,4
ங,4
ර,4
ක,4
ຽ,4
ῃ,4
麹,4
મ,4
瓊,4
Щ,3
ἁ,3
鹿,3
苑,3
閣,3
ҳ,3
素,3
リ,3
ジ,3
Υ,3
യ,3
ұ,3
भ,3
ợ,3
英,3
菱,3
征,3
永,3
臣,3
蔵,3
近,3
六,3
戸,3
ラ,3
ボ,3
የ,3
መ,3
ኃ,3
ለ,3
ἕ,3
ʽ,3
臺,3
ທ,3
ຕ,3
場,3
ব,3
ন,3
ܚ,3
Ῥ,3
美,3
ዮ,3
ጵ,3
ዊ,3
奈,3
ە,3
昆,3
崴,3
極,3
ǒ,3
Ģ,3
Ņ,3
き,3
松,3
洋,3
氣,3
ध,3
ṁ,3
羅,3
慶,3
化,3
寧,3
浮,3
定,3
台,3
惠,3
白,3
昭,3
ភ,3
ស,3
キ,3
青,3
ʋ,3
毛,3
う,3
丸,3
陳,3
Ŝ,3
党,3
ﬁ,3
Ő,3
ǣ,3
嚏,3
ក,3
կ,3
ղ,3
ΐ,3
佐,3
ヌ,3
福,3
加,3
納,3
河,3
ә,3
ツ,3
行,3
ሥ,3
ዓ,3
ロ,3
世,3
広,3
ʔ,3
館,3
区,3
线,3
چ,3
ˌ,3
命,3
津,3
撃,3
竜,3
義,3
成,3
時,3
ァ,3
ミ,3
구,3
ھ,3
ٹ,3
株,3
式,3
社,3
的,3
थ,3
建,3
ǵ,3
ニ,3
가,3
지,3
습,3
飯,3
Љ,3
ダ,3
단,3
語,3
袁,3
김,3
남,3
車,3
ਰ,3
令,3
鏡,3
霊,3
渃,3
鬥,3
沙,3
号,3
태,3
권,3
리,3
ŧ,3
Ý,3
조,3
선,3
민,3
ẖ,3
ᾱ,3
媽,3
ῇ,3
ગ,3
є,3
ன,3
ﬂ,3
མ,3
幹,3
線,3
柔,3
取,3
將,3
ȝ,3
Ὶ,3
宇,3
円,3
侯,3
姫,3
ҷ,2
マ,2
ビ,2
ッ,2
ホ,2
𐎠,2
尋,2
崎,2
ặ,2
翹,2
デ,2
モ,2
遠,2
Ϲ,2
മ,2
ӧ,2
柴,2
当,2
身,2
პ,2
片,2
裕,2
板,2
兵,2
橋,2
麿,2
阿,2
内,2
翼,2
賛,2
郷,2
茂,2
滿,2
ʌ,2
ም,2
ड,2
阪,2
ቀ,2
ὠ,2
ȟ,2
景,2
ழ,2
Њ,2
வ,2
