a,179347
n,128193
ˈ,116897
o,97225
e,72987
i,71100
t,56980
ⁿ,50459
m,45607
c,42630
j,41175
u,40929
y,39480
s,34097
d,28478
w,20803
ñ,19733
l,17901
q,11916
h,10379
x,6911
T,5849
J,5185
N,3553
r,3491
C,2194
M,2046
ê,1819
S,1759
â,1664
E,1523
ú,1490
Q,1238
í,1093
p,979
b,797
é,648
A,634
P,584
g,472
á,435
Ñ,422
L,418
f,356
O,343
î,302
ô,290
ó,284
X,266
I,210
U,201
B,142
v,134
G,123
D,115
z,104
Y,102
F,98
W,92
H,88
R,69
Z,39
É,21
k,8
Á,5
