Ꮝ,34724
Ꮧ,24587
Ꭰ,22668
Ꭹ,21069
Ꭲ,20657
Ꮎ,18530
Ꮒ,17258
Ꭿ,16884
Ꭴ,15942
Ꭶ,14528
Ꮣ,13099
Ꮅ,12110
Ꮕ,12106
Ꭸ,11497
Ꮄ,11085
Ꮑ,10833
Ꮫ,10661
Ꮓ,9860
Ꮵ,9293
Ꮢ,9153
Ꭼ,9098
Ꮈ,8500
Ᏻ,8470
Ꮩ,7948
Ᏹ,7049
Ꭺ,6561
Ꮞ,5729
Ꮹ,5632
Ꮻ,5188
Ꮙ,5121
Ꮃ,4552
Ꮳ,4498
Ꮪ,4480
Ᏼ,4334
Ꮿ,4310
Ꮥ,4269
Ꮤ,4249
Ꮺ,4051
Ꮆ,3974
Ᏸ,3971
Ꮔ,3882
Ꭵ,3839
Ꮷ,3543
Ꭽ,3499
Ꮂ,3471
Ꮟ,3364
Ꮴ,3075
Ꭱ,2841
Ᏺ,2813
Ꮸ,2582
Ꮜ,2452
Ꭾ,2418
Ꮏ,2338
Ꮖ,2233
Ꮨ,2019
Ꮭ,1958
Ꭷ,1863
Ꭳ,1716
Ꮇ,1378
Ꮼ,1230
Ꮯ,1192
Ꮲ,1159
Ꮀ,1032
Ꮁ,1028
Ꮠ,992
Ꮶ,817
Ꮘ,665
Ꮦ,615
Ꮽ,553
Ꭻ,548
Ꮮ,516
Ꮡ,487
Ꮰ,479
Ꮋ,409
Ꮗ,383
Ꮉ,358
Ꮱ,342
Ꮊ,202
Ꮛ,161
Ꮬ,111
Ꮾ,89
Ꮌ,84
Ꮚ,7
Ꮍ,2
