o,221165
e,220231
a,178175
i,141786
n,141675
t,136660
s,130471
l,127407
v,120377
d,105861
m,93846
k,89847
u,84517
p,73954
r,73169
h,71360
j,70635
í,69532
b,58322
c,55422
y,54944
á,52631
z,51767
ž,50418
ě,43061
ř,35747
é,35492
š,32159
ý,21144
č,16737
ů,14832
A,12246
J,8046
H,7869
I,7407
B,6736
P,6586
ť,5621
N,5094
S,4972
T,4429
K,3812
M,3450
D,2677
V,2486
E,2354
Z,2258
f,2205
O,2193
g,1449
ň,1396
ú,1380
ď,1338
C,1313
L,1020
G,994
R,913
F,854
Ž,800
U,660
Š,466
ó,457
Ř,418
Č,199
Ó,142
x,66
Ú,27
Ď,5
Ý,1
Í,1
