e,386115
a,347353
o,293509
s,249953
r,198889
n,181004
l,163523
d,157584
i,155101
u,123322
t,120831
c,100972
m,74820
p,61064
h,55840
b,47314
y,39377
v,37323
q,33611
g,26841
í,22413
á,21444
j,21030
ó,20246
é,20015
f,16716
J,12953
z,11052
E,9891
D,7778
A,7517
S,7488
P,6972
ñ,5338
ú,4717
Y,4651
L,4050
C,3662
M,3573
H,3497
I,3280
N,3084
T,3044
B,2025
x,1654
É,1398
Q,1220
G,1138
R,1057
O,1055
V,886
Z,481
U,360
F,329
ü,131
Ú,10
Á,7
Í,5
Ñ,2
Ó,1
