e,103254
a,82957
i,40020
o,39729
m,31235
ɔ,31189
l,30752
n,30399
u,26576
w,24844
s,23644
b,21387
k,19753
y,18962
t,18810
d,14670
g,13462
ɖ,13249
ƒ,8607
z,8340
p,7483
ŋ,6846
v,6748
f,4888
r,4426
h,3827
M,3426
x,2725
Y,2474
A,2446
E,2325
K,1624
N,1470
ɛ,1270
ʋ,1062
ɣ,1045
G,702
W,606
L,563
P,557
F,505
T,479
S,454
D,262
å,260
V,200
H,198
Đ,195
đ,195
O,195
B,184
Ŋ,183
I,124
Z,77
R,77
œ,44
Ω,43
ω,43
X,37
ß,33
Ɣ,26
Ʋ,26
Ƒ,14
ã,9
U,8
Å,5
í,2
Î,1
î,1
ó,1
â,1
ì,1
