a,70802
i,62474
s,55388
e,41422
t,37370
u,36064
n,31789
r,24570
ā,23615
m,23308
k,20073
d,20000
v,19957
j,16205
l,15684
o,15175
ī,14677
p,14447
ē,13512
z,11621
b,10521
c,8906
g,8246
ņ,7864
š,6814
ū,5772
V,3509
ļ,2877
J,2649
T,2523
U,2234
K,2169
D,1892
B,1884
ž,946
P,821
S,655
ķ,612
M,599
E,511
A,455
N,436
ģ,429
L,399
G,325
I,240
f,232
C,209
h,202
č,157
Š,152
R,126
Ā,114
F,87
H,77
Z,57
Ķ,38
O,30
Ē,28
Ī,22
Ž,16
Ņ,15
Ļ,13
Ģ,5
Č,4
Ū,2
