ᓂ,33355
ᐃ,33259
ᓐ,27665
ᑭ,23536
ᑕ,23284
ᒋ,20092
ᑮ,19537
ᑳ,19431
ᐅ,19326
ᐊ,17333
ᑲ,17216
ᒡ,17102
ᒃ,15152
ᔥ,14988
ᔑ,14460
ᐙ,13594
ᓇ,12485
ᐎ,12369
ᐁ,11934
ᒫ,11521
ᑯ,11204
ᑫ,10989
ᓯ,10112
ᒥ,10072
ᑎ,9989
ᐱ,9273
ᐌ,8908
ᒪ,8785
ᐐ,8620
ᓈ,8188
ᕽ,7240
ᐗ,6996
ᒦ,6622
ᐸ,6503
ᔦ,6477
ᐋ,5791
ᑑ,5764
ᑌ,5583
ᑖ,5494
ᓴ,5324
ᓃ,4660
ᔮ,4586
ᔭ,4474
ᑰ,4239
ᐯ,3727
ᓀ,3685
ᐲ,3640
ᐞ,3611
ᓄ,3519
ᑾ,3203
ᔐ,3056
ᓰ,2697
ᑐ,2518
ᔅ,2514
ᓅ,2507
ᔕ,2504
ᒧ,2452
ᒻ,2343
ᒀ,2341
ᑴ,2207
ᒌ,2052
ᐹ,1830
ᓱ,1774
ᓭ,1628
ᒣ,1528
ᓵ,1513
ᓬ,1510
ᕒ,1503
ᐺ,1483
ᒨ,1250
ᒑ,1143
ᔖ,1142
ᐄ,921
ᐆ,778
ᔓ,701
ᒎ,665
ᐴ,648
X,599
ᑦ,582
ᓲ,575
ᑣ,569
ᐳ,521
ᔒ,500
ᔔ,436
ᓉ,417
ᑏ,405
ᓍ,393
ᒐ,350
ᑆ,346
ᐤ,243
ᒉ,239
ᑸ,220
ᒞ,206
ᔫ,198
ᔣ,182
ᑉ,180
ᔨ,157
ᔂ,156
ᔗ,122
ᑗ,110
ᔩ,103
ᑶ,89
ᓶ,67
ᔪ,56
ᒬ,48
ᒸ,36
ᓋ,28
ᔛ,24
ᐾ,24
ᒶ,22
ᒍ,18
ᔀ,14
ᔾ,14
ᔡ,7
x,2
ᒒ,1
a,1
ᐧ,1
Z,1
ᐼ,1
ᑡ,1
u,1
