о,293101
е,232358
и,221503
а,193668
т,148997
с,144717
н,142597
в,131384
л,117656
р,107067
д,94250
м,81701
у,71060
к,67821
п,66488
я,52521
г,51610
ы,51052
б,44629
з,42941
ь,41604
х,27685
ч,26733
й,25880
ж,24395
ш,20218
ю,19531
И,19212
ц,12781
щ,9534
Г,9208
С,5756
М,5621
Б,5144
Е,5115
А,4771
Т,4498
ф,4190
Н,3515
В,3510
О,3472
П,2530
Я,2491
Д,2423
э,2412
К,2207
Х,1768
Ф,864
Р,849
З,632
Л,588
У,553
Ц,438
Ш,418
ъ,353
Ч,335
Э,181
Ж,129
Ю,15
Щ,4
Ь,2
